state,postcode,count,latitude,longitude
VIC,3000,117844,-37.8127,144.9604
QLD,4350,71800,-27.5687,151.9387
VIC,3029,67076,-37.8401,144.6888
NSW,2000,61957,-33.871,151.2067
NSW,2170,59999,-33.9293,150.9172
VIC,3030,55882,-37.9006,144.6949
VIC,3064,54917,-37.5749,144.9256
QLD,4870,53134,-16.9174,145.7426
QLD,4217,51900,-28.0009,153.4211
QLD,4670,51455,-24.8581,152.3563
WA,6210,51056,-32.5374,115.7202
VIC,3977,50919,-38.1064,145.2727
QLD,4740,50895,-21.1276,149.1724
VIC,3006,49915,-37.8253,144.9627
NSW,2250,46316,-33.4159,151.344
QLD,4551,46102,-26.8005,153.1075
QLD,4655,45648,-25.2979,152.8393
QLD,4215,44639,-27.9626,153.4042
QLD,4207,43944,-27.7383,153.1809
NSW,2145,43677,-33.812,150.9647
VIC,3350,41219,-37.5629,143.8493
NSW,2560,39329,-34.0823,150.8127
NSW,2650,37978,-35.1294,147.3583
NSW,2259,37551,-33.234,151.482
NSW,2444,36332,-31.4482,152.8983
NSW,2540,35676,-35.0397,150.6451
QLD,4305,34660,-27.6197,152.7564
VIC,3175,34478,-37.9836,145.2116
NSW,2148,34222,-33.7705,150.9037
NSW,2340,34166,-31.1051,150.9219
NSW,2261,34109,-33.358,151.4717
WA,6163,34097,-32.0844,115.7945
QLD,4209,34066,-27.8475,153.3095
WA,6112,33663,-32.1439,115.9751
QLD,4218,33130,-28.0375,153.429
VIC,3199,33090,-38.1539,145.1372
QLD,4680,33036,-23.9148,151.2612
WA,6065,32958,-31.7761,115.8251
NSW,2155,32828,-33.6969,150.9407
QLD,4211,32797,-27.9957,153.326
NSW,2750,32549,-33.757,150.6885
QLD,4510,32485,-27.0818,152.9577
WA,6164,32067,-32.1367,115.8456
NSW,2010,31713,-33.8819,151.2147
VIC,3216,31623,-38.1856,144.3258
QLD,4300,31452,-27.6522,152.9026
QLD,4000,31216,-27.4664,153.0258
TAS,7250,31194,-41.445,147.1383
SA,5000,30967,-34.9277,138.6004
NSW,2450,30963,-30.2777,153.1037
NSW,2765,30949,-33.6673,150.8604
VIC,3150,30678,-37.8898,145.1709
NSW,2500,30534,-34.4232,150.8868
NSW,2200,29981,-33.9192,151.0286
QLD,4101,29956,-27.4808,153.013
VIC,3073,29712,-37.7139,145.0101
ACT,2620,29688,-35.3611,149.2292
QLD,4570,29385,-26.1785,152.6472
NSW,2153,29063,-33.7539,150.9765
NSW,2570,28994,-34.0431,150.6978
NSW,2480,28954,-28.7837,153.2978
NSW,2800,28660,-33.2808,149.0924
NSW,2150,28643,-33.8161,151.007
VIC,3008,28587,-37.8188,144.9446
VIC,3550,28562,-36.7599,144.2898
VIC,3978,28142,-38.1091,145.3506
QLD,4006,28126,-27.4526,153.0367
QLD,4216,27977,-27.9085,153.3939
WA,6230,27939,-33.3562,115.643
QLD,4556,27776,-26.6928,153.0578
VIC,3141,27667,-37.839,144.9928
NSW,2795,27197,-33.4294,149.5831
VIC,3121,27093,-37.8201,145.0008
VIC,3023,27030,-37.7504,144.756
VIC,3810,26952,-38.0706,145.4763
QLD,4220,26862,-28.0863,153.4384
NSW,2830,26808,-32.2523,148.6146
QLD,4306,26606,-27.6042,152.7549
VIC,3053,26333,-37.8014,144.9656
QLD,4053,26333,-27.4004,152.9907
NSW,2747,26161,-33.7508,150.7341
NSW,2640,26140,-36.0612,146.9428
WA,6107,26017,-32.0157,115.9509
NSW,2065,25966,-33.8252,151.1966
NSW,2077,25944,-33.6971,151.1026
NSW,2770,25878,-33.7534,150.8142
QLD,4034,25768,-27.3585,153.034
QLD,4503,25619,-27.2525,153.0022
QLD,4152,25352,-27.4993,153.0956
VIC,3020,25343,-37.7832,144.8242
WA,6056,25152,-31.8839,116.0294
NSW,2026,25072,-33.8901,151.2709
QLD,4122,25052,-27.544,153.0887
WA,6330,25009,-35.0015,117.8759
NSW,2099,24987,-33.7508,151.285
NSW,2430,24777,-31.9396,152.4976
VIC,3021,24773,-37.7419,144.7983
NSW,2017,24584,-33.9027,151.2083
VIC,3182,24532,-37.863,144.9813
NSW,2478,24067,-28.8437,153.5665
QLD,4814,23982,-19.294,146.7588
NSW,2428,23958,-32.2127,152.5117
VIC,3136,23922,-37.7916,145.2822
QLD,4701,23903,-23.3452,150.5307
VIC,3806,23885,-38.0432,145.3433
QLD,4650,23738,-25.5749,152.6869
NSW,2031,23620,-33.9131,151.2456
NSW,2166,23266,-33.8913,150.9341
VIC,3338,22819,-37.7204,144.5712
VIC,3280,22717,-38.3749,142.4877
NSW,2011,22714,-33.872,151.2241
VIC,3805,22579,-38.0355,145.3044
QLD,4500,22574,-27.3022,152.9655
QLD,4214,22535,-27.9654,153.3696
WA,6018,22515,-31.8913,115.7881
NSW,2154,22501,-33.7292,151.0019
VIC,3072,22432,-37.7414,145.006
WA,6155,22417,-32.0697,115.9106
NSW,2112,22201,-33.8136,151.1051
VIC,3429,22068,-37.5778,144.7239
VIC,3500,22046,-34.1965,142.1451
VIC,3195,21986,-38.0048,145.097
NSW,2320,21913,-32.7172,151.5266
NSW,2580,21737,-34.743,149.7294
QLD,4560,21707,-26.6256,152.9609
WA,6061,21693,-31.8658,115.8452
NSW,2220,21623,-33.9654,151.1021
NSW,2230,21541,-34.0552,151.1498
NSW,2066,21507,-33.8134,151.1634
QLD,4573,21456,-26.5191,153.0845
QLD,4558,21266,-26.6551,153.0833
VIC,3754,21251,-37.5986,145.1059
WA,6530,21186,-28.7703,114.6272
VIC,3163,20985,-37.8926,145.0576
ACT,2615,20941,-35.2124,149.0286
NSW,2251,20830,-33.4728,151.3932
VIC,3058,20810,-37.74,144.9654
NSW,2217,20712,-33.9699,151.1373
ACT,2611,20684,-35.3285,149.0404
NSW,2232,20604,-34.033,151.0651
WA,6280,20572,-33.6643,115.3175
WA,6027,20489,-31.7565,115.7585
WA,6000,20427,-31.951,115.8605
SA,5108,20406,-34.7585,138.6239
QLD,4212,20396,-27.886,153.3482
VIC,3024,20384,-37.8745,144.6074
QLD,4810,20312,-19.258,146.8093
QLD,4702,20294,-23.5296,150.0209
NSW,2257,20285,-33.5152,151.3301
VIC,3046,20269,-37.7071,144.9268
WA,6110,20246,-32.0844,115.9787
WA,6069,20144,-31.7722,115.9881
VIC,3690,20136,-36.1293,146.8723
QLD,4165,19856,-27.6119,153.2894
NSW,2486,19850,-28.213,153.5255
ACT,2617,19820,-35.2312,149.0832
NSW,2165,19789,-33.8701,150.9463
NSW,2760,19742,-33.7652,150.7829
NSW,2035,19721,-33.9434,151.2425
NSW,2290,19706,-32.978,151.6953
NSW,2460,19631,-29.684,152.9335
QLD,4226,19583,-28.0643,153.3893
ACT,2602,19547,-35.2498,149.1406
NSW,2287,19471,-32.8972,151.6652
VIC,3174,19452,-37.9653,145.179
VIC,3134,19435,-37.8041,145.2331
NSW,2324,19407,-32.7068,151.9178
VIC,3037,19366,-37.7044,144.7567
NSW,2229,19362,-34.0433,151.1229
VIC,3011,19352,-37.7995,144.8964
VIC,3630,19328,-36.3793,145.406
NSW,2756,19306,-33.5839,150.8283
QLD,4017,19206,-27.3162,153.0509
VIC,3336,19018,-37.7155,144.7026
NSW,2088,18941,-33.8272,151.2407
NSW,2536,18916,-35.7324,150.2058
NSW,2113,18881,-33.7871,151.1245
WA,6171,18871,-32.3348,115.814
VIC,3337,18849,-37.6711,144.5724
VIC,3149,18831,-37.8774,145.1291
NSW,2350,18829,-30.5081,151.6754
NSW,2067,18783,-33.7965,151.1821
VIC,3844,18717,-38.1981,146.5367
VIC,3156,18703,-37.8905,145.2823
VIC,3032,18695,-37.7771,144.9064
VIC,3056,18687,-37.7669,144.9618
NSW,2160,18649,-33.8361,150.9846
ACT,2913,18609,-35.1764,149.1131
VIC,3051,18553,-37.7991,144.9488
NSW,2036,18552,-33.9615,151.2349
NSW,2216,18484,-33.955,151.1447
VIC,3181,18294,-37.8523,144.996
WA,6030,18290,-31.6764,115.7146
VIC,3217,18284,-38.2286,144.3491
NSW,2147,18257,-33.7686,150.9356
NSW,2325,18233,-32.8572,151.3266
NSW,2210,18165,-33.9589,151.0542
NSW,2121,18150,-33.7716,151.0793
QLD,4221,18078,-28.1206,153.4621
QLD,4109,18044,-27.5816,153.0583
SA,5162,17974,-35.1159,138.5345
QLD,4184,17952,-27.6475,153.3737
VIC,3204,17932,-37.9153,145.0395
NSW,2204,17907,-33.9105,151.1541
NSW,2285,17882,-32.9294,151.636
NSW,2539,17870,-35.3515,150.4582
QLD,4077,17837,-27.5959,152.9742
NSW,2541,17820,-34.8726,150.5992
WA,6062,17819,-31.8866,115.9064
QLD,4051,17792,-27.426,153.0024
WA,6055,17629,-31.8589,115.9768
QLD,4170,17618,-27.4714,153.0749
VIC,3551,17603,-36.7536,144.3126
TAS,7310,17526,-41.1925,146.3432
VIC,3122,17519,-37.8233,145.0327
WA,6060,17366,-31.9014,115.843
NSW,2144,17364,-33.8538,151.0303
QLD,4020,17348,-27.217,153.1057
VIC,3012,17341,-37.7982,144.8695
QLD,4509,17339,-27.2284,153.0213
VIC,3004,17309,-37.8425,144.977
VIC,3076,17294,-37.6401,145.026
VIC,3130,17232,-37.8234,145.15
NSW,2122,17135,-33.7827,151.0928
NSW,2176,17131,-33.8714,150.8888
WA,6169,17120,-32.3156,115.7422
QLD,4352,17119,-27.5043,151.9161
QLD,4301,17092,-27.6396,152.8574
VIC,3931,17007,-38.2297,145.0476
QLD,4068,16972,-27.4998,152.9772
WA,6168,16925,-32.2847,115.7431
VIC,3192,16895,-37.9632,145.0613
NSW,2567,16862,-34.0442,150.7492
VIC,3128,16857,-37.8241,145.1229
SA,5114,16792,-34.6867,138.6953
QLD,4127,16750,-27.6314,153.1359
WA,6152,16706,-32.0043,115.8678
VIC,3152,16652,-37.8651,145.2322
NT,0810,16626,-12.3788,130.8691
NSW,2530,16603,-34.4988,150.7912
NSW,2168,16582,-33.9129,150.8769
QLD,4114,16538,-27.6413,153.1084
NSW,2060,16508,-33.8388,151.2064
NSW,2529,16439,-34.577,150.8441
QLD,4118,16432,-27.6704,153.0398
SA,5290,16407,-37.8246,140.7824
QLD,4575,16311,-26.7259,153.1261
NSW,2263,16271,-33.2591,151.5268
VIC,3196,16186,-38.0492,145.1221
QLD,4178,16121,-27.4453,153.1623
NSW,2141,16099,-33.8632,151.0447
WA,6019,16094,-31.8992,115.7667
QLD,4703,15991,-23.1339,150.7396
QLD,4818,15989,-19.2294,146.6647
VIC,3083,15911,-37.6979,145.0585
VIC,3750,15832,-37.607,145.0121
NSW,2680,15802,-34.2862,146.0505
NSW,2142,15784,-33.8356,151.0104
VIC,3166,15757,-37.9012,145.0969
VIC,3040,15629,-37.7511,144.9086
NSW,2046,15621,-33.8594,151.1319
QLD,4879,15617,-16.7794,145.6829
VIC,3941,15571,-38.3815,144.8206
VIC,3220,15563,-38.1522,144.352
NSW,2196,15533,-33.9301,151.0621
QLD,4069,15511,-27.5091,152.934
QLD,4505,15474,-27.1532,152.9752
VIC,3109,15445,-37.7818,145.1623
NSW,2161,15374,-33.8553,150.9842
QLD,4012,15346,-27.399,153.0573
VIC,3044,15322,-37.7304,144.938
NSW,2194,15304,-33.9125,151.1025
VIC,3228,15293,-38.325,144.3174
VIC,3186,15252,-37.9087,144.9973
NSW,2565,15217,-33.9925,150.855
QLD,4507,15210,-27.0625,153.1594
NSW,2205,15206,-33.9339,151.1485
ACT,2612,15191,-35.2756,149.1365
QLD,4133,15177,-27.7066,153.1185
QLD,4075,15175,-27.5417,152.9791
NSW,2114,15143,-33.8098,151.0863
NSW,2315,15123,-32.7256,152.1473
VIC,3145,15100,-37.8779,145.061
NSW,2137,15064,-33.8522,151.1039
VIC,3207,15043,-37.837,144.9355
VIC,3070,14971,-37.7727,145.0004
VIC,3108,14948,-37.7855,145.1242
VIC,3153,14937,-37.8391,145.2708
NSW,2140,14928,-33.8637,151.0739
NSW,2131,14901,-33.8878,151.1263
SA,5159,14886,-35.0708,138.5882
NSW,2850,14849,-32.6055,149.6072
SA,5211,14840,-35.5497,138.6103
NSW,2020,14810,-33.9252,151.1902
QLD,4005,14809,-27.4632,153.0459
VIC,3168,14776,-37.9168,145.1295
VIC,3165,14731,-37.9212,145.066
VIC,3031,14698,-37.7906,144.9268
QLD,4817,14668,-19.3074,146.7077
VIC,3214,14564,-38.0801,144.3574
QLD,4506,14561,-27.1181,152.9457
WA,6025,14507,-31.8002,115.7553
NSW,2260,14496,-33.4351,151.4385
QLD,4169,14486,-27.4783,153.0397
NT,0820,14465,-12.4381,130.8463
NSW,2095,14457,-33.7973,151.2857
NSW,2040,14433,-33.8804,151.1568
VIC,3028,14397,-37.8735,144.7739
QLD,4557,14197,-26.69,153.1103
NSW,2323,14159,-32.7671,151.5895
VIC,3178,14119,-37.921,145.2484
VIC,3101,14104,-37.8049,145.0371
WA,6167,14086,-32.2319,115.8322
NSW,2127,14060,-33.8337,151.0723
QLD,4213,14058,-28.089,153.3488
QLD,4113,14047,-27.5881,153.0846
VIC,3003,14046,-37.8092,144.9482
NSW,2042,14041,-33.8984,151.1784
NSW,2527,14032,-34.5751,150.776
NSW,2034,14023,-33.9227,151.254
NSW,2440,14021,-31.0603,152.8329
NSW,2280,14011,-33.0254,151.6589
VIC,3084,13970,-37.747,145.0717
NSW,2283,13919,-33.0202,151.59
VIC,3875,13919,-37.8231,147.6142
QLD,4066,13914,-27.4805,152.9909
NSW,2228,13912,-34.0348,151.1024
VIC,3146,13907,-37.8554,145.0607
QLD,4032,13859,-27.3856,153.0269
VIC,3825,13846,-38.1625,146.2775
VIC,3205,13837,-37.8336,144.9605
WA,6151,13800,-31.9777,115.864
NSW,2528,13791,-34.5498,150.8582
WA,6430,13777,-30.7527,121.4643
VIC,3155,13760,-37.8581,145.2831
NSW,2880,13729,-31.9229,141.4686
NSW,2135,13718,-33.876,151.0878
VIC,3088,13712,-37.7006,145.1103
QLD,4285,13670,-27.9788,152.9825
NSW,2322,13650,-32.7856,151.6504
SA,5253,13587,-35.1291,139.2824
QLD,4121,13510,-27.5233,153.0576
VIC,3226,13491,-38.2594,144.5346
NSW,2195,13480,-33.9209,151.0729
NSW,2763,13471,-33.727,150.8925
QLD,4812,13462,-19.2857,146.7897
VIC,3340,13446,-37.6739,144.4289
NSW,2207,13428,-33.9489,151.1222
QLD,4030,13393,-27.4255,153.0351
VIC,3173,13367,-37.9971,145.1687
TAS,7000,13351,-42.8793,147.318
NSW,2179,13349,-33.9499,150.8077
QLD,4019,13344,-27.2479,153.097
VIC,3922,13337,-38.4661,145.2345
TAS,7018,13295,-42.8778,147.3936
NSW,2022,13284,-33.893,151.2497
NSW,2233,13201,-34.0645,151.0138
NSW,2118,13193,-33.7784,151.0475
VIC,3851,13190,-38.1897,147.364
VIC,3215,13189,-38.1133,144.3359
QLD,4370,13184,-28.2094,152.0345
QLD,4124,13182,-27.717,152.9833
VIC,3939,13132,-38.3747,144.9042
NSW,2100,13129,-33.7628,151.2642
NSW,2330,13115,-32.5618,151.1488
ACT,2914,13084,-35.1746,149.1415
NSW,2164,13054,-33.8501,150.9229
NSW,2745,13050,-33.8081,150.6752
WA,6153,12997,-32.0227,115.8429
VIC,3223,12981,-38.1452,144.6815
WA,6064,12975,-31.834,115.8481
NSW,2018,12923,-33.919,151.2067
WA,6008,12912,-31.9506,115.8211
VIC,3201,12905,-38.0998,145.1806
VIC,3095,12887,-37.7093,145.1543
SA,5045,12886,-34.978,138.5181
VIC,3131,12859,-37.8275,145.1739
WA,6100,12851,-31.9716,115.8962
WA,6014,12850,-31.937,115.8078
VIC,3171,12823,-37.9474,145.152
VIC,3555,12792,-36.7886,144.2444
VIC,3183,12788,-37.8668,144.9998
SA,5251,12777,-35.0803,138.8672
NSW,2037,12764,-33.8795,151.1856
NSW,2134,12740,-33.8769,151.1034
NSW,2300,12727,-32.93,151.7755
QLD,4035,12661,-27.3537,152.9796
WA,6059,12612,-31.8915,115.8741
VIC,3820,12608,-38.1547,145.9342
NSW,2484,12602,-28.3465,153.3704
QLD,4227,12596,-28.092,153.4078
QLD,4700,12584,-23.3828,150.5035
NSW,2234,12543,-34.0114,151.0229
NSW,2015,12525,-33.906,151.1962
WA,6111,12520,-32.1176,116.0272
VIC,3124,12518,-37.8388,145.0725
VIC,3936,12515,-38.3291,144.9815
NSW,2009,12469,-33.8704,151.1943
VIC,3082,12446,-37.6632,145.0618
QLD,4825,12444,-20.7492,139.4682
SA,5043,12426,-34.9965,138.5555
NSW,2171,12388,-33.9207,150.8451
QLD,4151,12356,-27.4982,153.0602
WA,6021,12346,-31.8791,115.8192
VIC,3074,12336,-37.6822,145.0128
VIC,3677,12283,-36.3581,146.3102
NSW,2761,12211,-33.7392,150.8451
VIC,3219,12191,-38.1728,144.3861
SA,5085,12183,-34.8581,138.6186
NSW,2151,12168,-33.7929,151.0107
NSW,2550,12142,-36.6831,149.8253
NSW,2485,12140,-28.1806,153.5298
NSW,2093,12139,-33.7921,151.2627
VIC,3198,12113,-38.1097,145.1369
QLD,4007,12040,-27.436,153.0664
VIC,3068,12039,-37.786,144.9876
WA,6004,12016,-31.957,115.8737
VIC,3809,11976,-38.0659,145.4134
QLD,4567,11936,-26.4028,153.096
QLD,4163,11927,-27.5313,153.2693
NSW,2321,11890,-32.7241,151.5805
QLD,4132,11864,-27.6823,153.0938
QLD,4074,11824,-27.5505,152.9265
QLD,4280,11813,-27.8128,152.9987
NSW,2223,11772,-33.9744,151.0764
QLD,4157,11761,-27.5382,153.1995
NSW,2016,11711,-33.8934,151.2065
QLD,4123,11656,-27.5903,153.1258
VIC,3071,11626,-37.758,145.0042
NSW,2190,11625,-33.9042,151.0566
QLD,4868,11624,-16.9732,145.7396
QLD,4116,11616,-27.6264,153.0514
VIC,3169,11606,-37.938,145.1202
VIC,3212,11601,-38.0221,144.3932
VIC,3184,11586,-37.8803,144.9866
NSW,2076,11568,-33.7187,151.1119
QLD,4208,11562,-27.7829,153.2709
NSW,2518,11557,-34.3739,150.9032
ACT,2905,11547,-35.4311,149.1091
WA,6101,11540,-31.9847,115.91
VIC,3222,11517,-38.1724,144.5617
NSW,2780,11498,-33.7108,150.3179
NT,0870,11462,-23.7001,133.8757
QLD,4078,11452,-27.6198,152.9611
NSW,2138,11441,-33.8338,151.0866
NSW,2487,11420,-28.262,153.5674
NSW,2566,11417,-34.0254,150.8403
SA,5095,11397,-34.8155,138.6159
WA,6054,11393,-31.8986,115.9457
NSW,2481,11378,-28.6524,153.5982
NSW,2537,11361,-35.9194,150.1304
TAS,7030,11297,-42.6073,147.1773
VIC,3047,11271,-37.6811,144.9275
NSW,2256,11241,-33.5001,151.3167
VIC,3043,11190,-37.6984,144.8824
VIC,3038,11182,-37.7074,144.7931
WA,6051,11180,-31.9326,115.8979
NSW,2577,11165,-34.5732,150.4113
TAS,7320,11135,-41.0641,145.8947
NSW,2021,11084,-33.8858,151.2285
NSW,2762,11072,-33.7002,150.8808
VIC,3188,11058,-37.9379,145.0154
QLD,4225,11030,-28.1672,153.5309
SA,5118,11018,-34.5955,138.748
QLD,4110,11008,-27.6052,153.0104
NSW,2101,11003,-33.7092,151.2911
VIC,3079,10972,-37.7665,145.046
VIC,3840,10967,-38.2389,146.4181
NSW,2117,10957,-33.7959,151.0412
VIC,3016,10954,-37.859,144.8887
QLD,4171,10950,-27.4557,153.0606
SA,5540,10933,-33.1911,138.0136
VIC,3042,10893,-37.7282,144.8787
VIC,3850,10858,-38.1028,147.072
SA,5158,10849,-35.0749,138.5237
VIC,3910,10844,-38.1528,145.1955
NSW,2074,10841,-33.7285,151.1306
NSW,2753,10825,-33.6119,150.7292
QLD,4610,10795,-26.5457,151.7981
SA,5606,10790,-34.7286,135.8578
NSW,2262,10785,-33.219,151.5321
WA,6010,10785,-31.9775,115.7786
VIC,3752,10776,-37.6367,145.0854
VIC,3934,10773,-38.2669,145.0261
VIC,3138,10766,-37.7803,145.3217
SA,5023,10743,-34.8961,138.5212
VIC,3039,10698,-37.7655,144.9208
WA,6076,10693,-31.9855,116.0583
SA,5112,10625,-34.7346,138.6733
SA,5038,10601,-34.969,138.5529
NSW,2304,10598,-32.8935,151.734
WA,6102,10559,-32.0042,115.9099
VIC,3564,10544,-36.1359,144.7398
QLD,4210,10538,-27.9143,153.2931
SA,5113,10527,-34.6992,138.6792
QLD,4179,10524,-27.4639,153.1748
NSW,2456,10523,-30.1005,153.1905
QLD,4815,10516,-19.3598,146.7223
QLD,4102,10502,-27.4935,153.0359
NSW,2641,10499,-36.0401,146.9397
TAS,7010,10484,-42.8349,147.267
NSW,2213,10465,-33.9598,150.9993
VIC,3123,10429,-37.8296,145.0503
SA,5169,10397,-35.1922,138.4817
NSW,2264,10389,-33.1055,151.5128
